"","Nest","Year","Species","Site","First_Date","Last_Date","Duration","Fate","Chicks_First","Chicks_Last","Proporation_Lost","Camera"
"52","106LT-07",2007,"LETE","NPPD Lexington",2007-05-28,2007-07-02,35,NA,NA,0,NA,"0"
"53","106LT-10",2010,"LETE","NPPD Lexington",2010-05-28,2010-07-09,42,"Fledged",3,2,0.333333333333333,"0"
"54","107-06",2006,"LETE","NPPD Lexington",2006-05-29,2006-06-26,28,"Failed-Predation",2,0,1,"0"
"55","107-09",2009,"LETE","NPPD Lexington",2009-06-04,2009-06-26,22,"Unknown Outcome",NA,0,NA,"0"
"56","107LT-07",2007,"LETE","NPPD Lexington",2007-06-04,2007-07-16,42,"Fledged",3,3,0,"0"
"57","107LT-10",2010,"LETE","NPPD Lexington",2010-06-04,2010-07-03,29,NA,NA,0,NA,"0"
"58","108-06",2006,"LETE","NPPD Lexington",2006-06-06,2006-06-26,20,NA,NA,0,NA,"0"
"59","108-09",2009,"LETE","NPPD Lexington",2009-06-04,2009-06-27,23,"Unknown Outcome",NA,0,NA,"0"
"60","108LT-07",2007,"LETE","NPPD Lexington",2007-06-04,2007-06-13,9,NA,NA,0,NA,"0"
"61","108LT-10",2010,"LETE","NPPD Lexington",2010-06-04,2010-08-03,60,"Fledged",3,1,0.666666666666667,"0"
"62","109-06",2006,"LETE","NPPD Lexington",2006-06-06,2006-06-26,20,NA,NA,0,NA,"0"
"63","109-09",2009,"LETE","NPPD Lexington",2009-06-04,2009-06-22,18,"Unknown Outcome",NA,0,NA,"0"
"64","109LT-07",2007,"LETE","NPPD Lexington",2007-06-04,2007-07-12,38,"Fledged",2,2,0,"0"
"65","109LT-10",2010,"LETE","NPPD Lexington",2010-06-04,2010-07-17,43,"Fledged",2,3,-0.5,"0"
"66","11-L08",2008,"PIPL","NPPD Lexington",2008-06-11,2008-07-07,26,"Unknown Outcome",NA,0,NA,"0"
"67","110-06",2006,"LETE","NPPD Lexington",2006-06-06,2006-06-23,17,NA,NA,0,NA,"0"
"68","110-09",2009,"LETE","NPPD Lexington",2009-06-03,2009-07-09,36,"Fledged",2,2,0,"0"
"69","110LT-07",2007,"LETE","NPPD Lexington",2007-06-04,2007-07-12,38,"Fledged",3,3,0,"0"
"70","110LT-10",2010,"LETE","NPPD Lexington",2010-06-03,2010-07-17,44,"Fledged",2,2,0,"0"
"71","111-06",2006,"LETE","NPPD Lexington",2006-06-06,2006-06-12,6,"Unknown Outcome",NA,0,NA,"0"
"72","111-09",2009,"PIPL","NPPD Lexington",2009-06-03,2009-06-30,27,NA,NA,0,NA,"0"
"73","111LT-07",2007,"LETE","NPPD Lexington",2007-06-04,2007-07-09,35,"Fledged",3,3,0,"0"
"74","111PP-10",2010,"PIPL","NPPD Lexington",2010-06-07,2010-06-23,16,NA,NA,0,NA,"0"
"75","112-06",2006,"LETE","NPPD Lexington",2006-06-08,2006-06-18,10,"Unknown Outcome",NA,0,NA,"0"
"76","112-09",2009,"LETE","NPPD Lexington",2009-06-05,2009-07-28,53,"Fledged",3,3,0,"0"
"77","112LT-07",2007,"LETE","NPPD Lexington",2007-06-08,2007-07-16,38,"Fledged",2,2,0,"0"
"78","112PP-10",2010,"PIPL","NPPD Lexington",2010-06-07,2010-08-02,56,"Fledged",2,1,0.5,"0"
"79","113-06",2006,"LETE","NPPD Lexington",2006-06-08,2006-06-26,18,NA,NA,0,NA,"0"
"80","113-09",2009,"LETE","NPPD Lexington",2009-06-05,2009-07-09,34,"Fledged",3,2,0.333333333333333,"0"
"81","113LT-07",2007,"LETE","NPPD Lexington",2007-06-11,2007-07-12,31,"Fledged",3,3,0,"0"
"82","113LT-10",2010,"LETE","NPPD Lexington",2010-06-07,2010-07-17,40,"Fledged",1,3,-2,"0"
"83","114-06",2006,"LETE","NPPD Lexington",2006-06-15,2006-07-17,32,NA,NA,0,NA,"0"
"84","114-09",2009,"LETE","NPPD Lexington",2009-06-08,2009-07-18,40,"Unknown Outcome",NA,0,NA,"0"
"85","114LT-07",2007,"LETE","NPPD Lexington",2007-06-13,2007-07-16,33,"Fledged",2,2,0,"0"
"86","114LT-10",2010,"LETE","NPPD Lexington",2010-06-07,2010-07-10,33,"Unknown Outcome",2,0,1,"0"
"87","115-06",2006,"PIPL","NPPD Lexington",2006-06-15,2006-07-20,35,"Failed-Predation",2,0,1,"0"
"88","115-09",2009,"LETE","NPPD Lexington",2009-06-13,2009-07-07,24,"Unknown Outcome",NA,0,NA,"0"
"89","115LT-07",2007,"LETE","NPPD Lexington",2007-06-15,2007-07-23,38,"Fledged",2,2,0,"0"
"90","115LT-10",2010,"LETE","NPPD Lexington",2010-06-07,2010-07-17,40,"Fledged",1,2,-1,"0"
"91","116-06",2006,"LETE","NPPD Lexington",2006-06-15,2006-06-26,11,NA,NA,0,NA,"0"
"92","116-09",2009,"LETE","NPPD Lexington",2009-06-13,2009-07-12,29,"Unknown Outcome",1,0,1,"0"
"93","116LT-07",2007,"LETE","NPPD Lexington",2007-06-26,2007-07-20,24,"Fledged",2,2,0,"0"
"94","116LT-10",2010,"LETE","NPPD Lexington",2010-06-07,2010-06-25,18,NA,NA,0,NA,"0"
"95","117-06",2006,"LETE","NPPD Lexington",2006-06-23,2006-07-13,20,"Unknown Outcome",NA,0,NA,"0"
"96","117-09",2009,"LETE","NPPD Lexington",2009-06-03,2009-07-16,43,"Fledged",3,3,0,"0"
"97","117LT-07",2007,"LETE","NPPD Lexington",2007-06-26,2007-08-02,37,"Fledged",2,2,0,"0"
"98","117LT-10",2010,"LETE","NPPD Lexington",2010-06-09,2010-07-10,31,NA,NA,0,NA,"0"
"99","118-06",2006,"LETE","NPPD Lexington",2006-06-23,2006-06-30,7,NA,NA,0,NA,"0"
"100","118-09",2009,"LETE","NPPD Lexington",2009-06-05,2009-07-18,43,"Fledged",2,1,0.5,"0"
"101","118PP-07",2007,"PIPL","NPPD Lexington",2007-06-26,2007-07-20,24,"Unknown Outcome",NA,0,NA,"0"
"102","118PP-10",2010,"PIPL","NPPD Lexington",2010-06-09,2010-07-30,51,"Fledged",2,2,0,"0"
"103","119-06",2006,"LETE","NPPD Lexington",2006-06-26,2006-07-20,24,"Failed-Predation",3,0,1,"0"
"104","119-09",2009,"LETE","NPPD Lexington",2009-06-14,2009-07-28,44,"Fledged",3,3,0,"0"
"105","119LT-07",2007,"LETE","NPPD Lexington",2007-06-29,2007-08-06,38,"Fledged",2,2,0,"0"
"106","119LT-10",2010,"LETE","NPPD Lexington",2010-06-11,2010-06-17,6,NA,NA,0,NA,"0"
"107","12-L08",2008,"LETE","NPPD Lexington",2008-06-11,2008-06-29,18,NA,NA,0,NA,"0"
"108","120-06",2006,"LETE","NPPD Lexington",2006-07-03,2006-07-20,17,NA,NA,0,NA,"0"
"109","120-09",2009,"LETE","NPPD Lexington",2009-06-28,2009-07-20,22,NA,NA,0,NA,"0"
"110","120LT-07",2007,"LETE","NPPD Lexington",2007-07-02,2007-08-06,35,NA,NA,0,NA,"0"
"111","120LT-10",2010,"LETE","NPPD Lexington",2010-06-09,2010-07-17,38,"Unknown Outcome",1,0,1,"0"
"112","121-06",2006,"LETE","NPPD Lexington",2006-07-03,2006-07-17,14,NA,NA,0,NA,"0"
"113","121-09",2009,"LETE","NPPD Lexington",2009-06-30,2009-07-20,20,NA,NA,0,NA,"0"
"114","121LT-10",2010,"LETE","NPPD Lexington",2010-06-17,2010-08-03,47,"Fledged",3,1,0.666666666666667,"0"
"115","122-06",2006,"LETE","NPPD Lexington",2006-07-05,2006-07-17,12,NA,NA,0,NA,"0"
"116","122-09",2009,"LETE","NPPD Lexington",2009-06-30,2009-07-28,28,"Unknown Outcome",2,0,1,"0"
"117","122LT-10",2010,"LETE","NPPD Lexington",2010-06-21,2010-07-30,39,"Fledged",2,2,0,"0"
"118","123-06",2006,"LETE","NPPD Lexington",2006-07-05,2006-07-17,12,NA,NA,0,NA,"0"
"119","123LT-10",2010,"LETE","NPPD Lexington",2010-06-22,2010-08-06,45,"Fledged",2,2,0,"0"
"120","123X-09",2009,"LETE","NPPD Lexington",2009-07-09,2009-08-11,33,"Fledged",2,2,0,"0"
"121","124-06",2006,"LETE","NPPD Lexington",2006-07-05,2006-08-18,44,"Fledged",2,2,0,"0"
"122","124LT-10",2010,"LETE","NPPD Lexington",2010-06-29,2010-07-12,13,NA,NA,0,NA,"0"
"123","125-06",2006,"LETE","NPPD Lexington",2006-07-11,2006-07-20,9,NA,NA,0,NA,"0"
"124","125LT-10",2010,"LETE","NPPD Lexington",2010-07-02,2010-08-09,38,"Fledged",2,2,0,"0"
"125","126LT-10",2010,"LETE","NPPD Lexington",2010-07-03,2010-08-12,40,"Fledged",1,2,-1,"0"
"126","127LT-10",2010,"LETE","NPPD Lexington",2010-07-26,2010-08-11,16,NA,NA,0,NA,"0"
"127","13-L08",2008,"LETE","NPPD Lexington",2008-06-11,2008-06-29,18,NA,NA,0,NA,"0"
"128","130-11",2011,"PIPL","NPPD Lexington",2011-05-06,2011-07-05,60,"Fledged",2,1,0.5,"0"
"129","131-11",2011,"PIPL","NPPD Lexington",2011-05-10,2011-07-05,56,"Fledged",1,2,-1,"0"
"130","132-11",2011,"PIPL","NPPD Lexington",2011-05-24,2011-07-11,48,"Unknown Outcome",2,0,1,"0"
"131","133-11",2011,"PIPL","NPPD Lexington",2011-05-19,2011-07-11,53,"Failed-Unknown",3,0,1,"0"
"132","134-11",2011,"PIPL","NPPD Lexington",2011-05-26,2011-06-01,6,NA,NA,0,NA,"0"
"133","135-11",2011,"LETE","NPPD Lexington",2011-06-06,2011-07-21,45,"Fledged",2,2,0,"0"
"134","136-11",2011,"PIPL","NPPD Lexington",2011-06-06,2011-07-25,49,"Unknown Outcome",1,0,1,"0"
"135","137-11",2011,"LETE","NPPD Lexington",2011-06-10,2011-07-25,45,"Fledged",3,0,1,"0"
"136","138-11",2011,"LETE","NPPD Lexington",2011-06-10,2011-07-21,41,"Fledged",1,1,0,"0"
"137","139-11",2011,"LETE","NPPD Lexington",2011-06-10,2011-06-28,18,NA,NA,0,NA,"0"
"138","14-L08",2008,"LETE","NPPD Lexington",2008-06-11,2008-07-19,38,"Fledged",2,2,0,"0"
"139","140-11",2011,"LETE","NPPD Lexington",2011-06-10,2011-06-22,12,NA,NA,0,NA,"0"
"140","141-11",2011,"LETE","NPPD Lexington",2011-06-16,2011-08-01,46,"Fledged",2,1,0.5,"0"
"141","142-11",2011,"LETE","NPPD Lexington",2011-06-17,2011-08-04,48,"Fledged",2,1,0.5,"0"
"142","143-11",2011,"LETE","NPPD Lexington",2011-06-22,2011-08-08,47,"Other (see comments)",2,0,1,"0"
"143","144-11",2011,"LETE","NPPD Lexington",2011-07-07,2011-08-12,36,"Failed-Predation",1,0,1,"0"
"144","145X-11",2011,"LETE","NPPD Lexington",2011-06-22,2011-07-01,9,NA,NA,0,NA,"0"
"145","15-L08",2008,"LETE","NPPD Lexington",2008-06-11,2008-07-07,26,"Unknown Outcome",NA,0,NA,"0"
"146","16-L08",2008,"LETE","NPPD Lexington",2008-06-13,2008-06-29,16,NA,NA,0,NA,"0"
"147","17-L08",2008,"LETE","NPPD Lexington",2008-06-13,2008-07-25,42,"Fledged",2,2,0,"0"
"148","18-L08",2008,"LETE","NPPD Lexington",2008-06-13,2008-07-25,42,"Fledged",2,2,0,"0"
"149","19-L08",2008,"LETE","NPPD Lexington",2008-06-13,2008-07-25,42,"Fledged",3,3,0,"0"
"150","20-L08",2008,"LETE","NPPD Lexington",2008-06-25,2008-07-30,35,"Fledged",3,3,0,"0"
"151","200-09",2009,"PIPL","Blue Hole",2009-05-11,2009-06-24,44,"Fledged",2,3,-0.5,"0"
"152","201-06",2006,"PIPL","Blue Hole",2006-05-03,2006-06-22,50,"Fledged",4,4,0,"0"
"153","201-09",2009,"PIPL","Blue Hole",2009-05-11,2009-05-19,8,NA,NA,0,NA,"0"
"154","201PP-07",2007,"PIPL","Blue Hole",2007-05-04,2007-06-20,47,"Fledged",4,2,0.5,"0"
"155","201PP-10",2010,"PIPL","Blue Hole",2010-05-11,2010-05-14,3,NA,NA,0,NA,"0"
"156","202-06",2006,"PIPL","Blue Hole",2006-05-08,2006-06-23,46,"Fledged",4,4,0,"0"
"157","202-09",2009,"PIPL","Blue Hole",2009-05-22,2009-07-09,48,"Fledged",4,1,0.75,"0"
"158","202PP-07",2007,"PIPL","Blue Hole",2007-05-04,2007-06-26,53,"Fledged",3,2,0.333333333333333,"0"
"159","202PP-10",2010,"PIPL","Blue Hole",2010-05-11,2010-07-15,65,"Fledged",3,3,0,"0"
"160","203-06",2006,"PIPL","Blue Hole",2006-05-11,2006-06-26,46,"Fledged",4,3,0.25,"0"
"161","203-09",2009,"PIPL","Blue Hole",2009-05-19,2009-07-09,51,"Fledged",2,2,0,"0"
"162","203PP-07",2007,"PIPL","Blue Hole",2007-05-04,2007-06-13,40,"Failed-Weather",1,0,1,"0"
"163","203PP-10",2010,"PIPL","Blue Hole",2010-05-14,2010-07-03,50,"Fledged",4,4,0,"0"
"164","204-06",2006,"PIPL","Blue Hole",2006-05-26,2006-06-26,31,"Fledged",3,3,0,"0"
"165","204-09",2009,"LETE","Blue Hole",2009-05-25,2009-06-18,24,"Failed-Unknown",2,0,1,"0"
"166","204PP-07",2007,"PIPL","Blue Hole",2007-05-11,2007-06-18,38,"Fledged",3,1,0.666666666666667,"0"
"167","204PP-10",2010,"PIPL","Blue Hole",2010-05-11,2010-06-25,45,"Fledged",4,2,0.5,"0"
"168","205-06",2006,"LETE","Blue Hole",2006-05-26,2006-07-03,38,"Fledged",2,2,0,"0"
"169","205-09",2009,"LETE","Blue Hole",2009-05-27,2009-06-18,22,"Unknown Outcome",NA,0,NA,"0"
"170","205PP-07",2007,"PIPL","Blue Hole",2007-05-14,2007-07-05,52,"Fledged",4,1,0.75,"0"
"171","205PP-10",2010,"PIPL","Blue Hole",2010-05-17,2010-07-21,65,"Fledged",4,2,0.5,"0"
"172","206-06",2006,"LETE","Blue Hole",2006-05-26,2006-07-03,38,"Fledged",2,2,0,"0"
"173","206-09",2009,"PIPL","Blue Hole",2009-05-27,2009-06-08,12,NA,NA,0,NA,"0"
"174","206LT-07",2007,"LETE","Blue Hole",2007-05-24,2007-07-02,39,"Fledged",2,2,0,"0"
"175","206PP-10",2010,"PIPL","Blue Hole",2010-05-25,2010-07-19,55,"Fledged",1,2,-1,"0"
"176","207-06",2006,"PIPL","Blue Hole",2006-05-29,2006-06-26,28,"Fledged",3,3,0,"0"
"177","207-09",2009,"LETE","Blue Hole",2009-05-26,2009-07-09,44,"Fledged",2,2,0,"0"
"178","207LT-07",2007,"LETE","Blue Hole",2007-05-24,2007-07-05,42,"Fledged",2,2,0,"0"
"179","207PP-10",2010,"PIPL","Blue Hole",2010-05-26,2010-07-09,44,"Unknown Outcome",2,0,1,"0"
"180","208-06",2006,"LETE","Blue Hole",2006-05-31,2006-07-03,33,"Fledged",2,2,0,"0"
"181","208-09",2009,"LETE","Blue Hole",2009-05-29,2009-07-17,49,"Fledged",1,2,-1,"0"
"182","208LT-07",2007,"LETE","Blue Hole",2007-05-29,2007-07-05,37,"Fledged",3,3,0,"0"
"183","208LT-10",2010,"LETE","Blue Hole",2010-05-31,2010-07-09,39,"Unknown Outcome",1,0,1,"0"
"184","209-06",2006,"LETE","Blue Hole",2006-05-31,2006-07-11,41,"Fledged",3,3,0,"0"
"185","209-09",2009,"LETE","Blue Hole",2009-06-04,2009-06-19,15,"Unknown Outcome",NA,0,NA,"0"
"186","209LT-07",2007,"LETE","Blue Hole",2007-05-29,2007-07-12,44,"Fledged",3,3,0,"0"
"187","209LT-10",2010,"LETE","Blue Hole",2010-05-31,2010-06-23,23,"Failed-Unknown",1,0,1,"0"
"188","21-L08",2008,"LETE","NPPD Lexington",2008-07-02,2008-07-25,23,"Unknown Outcome",NA,0,NA,"0"
"189","210-06",2006,"LETE","Blue Hole",2006-05-31,2006-07-11,41,"Fledged",3,3,0,"0"
"190","210-09",2009,"LETE","Blue Hole",2009-06-05,2009-07-09,34,"Fledged",3,2,0.333333333333333,"0"
"191","210LT-07",2007,"LETE","Blue Hole",2007-05-31,2007-07-05,35,"Failed-Predation",2,0,1,"0"
"192","210LT-10",2010,"LETE","Blue Hole",2010-05-31,2010-07-06,36,"Unknown Outcome",2,0,1,"0"
"193","211-06",2006,"LETE","Blue Hole",2006-05-26,2006-07-07,42,"Fledged",2,2,0,"0"
"194","211-09",2009,"LETE","Blue Hole",2009-06-04,2009-06-18,14,"Unknown Outcome",3,0,1,"0"
"195","211LT-07",2007,"LETE","Blue Hole",2007-05-31,2007-07-05,35,"Failed-Predation",1,0,1,"0"
"196","211LT-10",2010,"LETE","Blue Hole",2010-05-31,2010-07-12,42,"Failed-Unknown",2,0,1,"0"
"197","212-06",2006,"LETE","Blue Hole",2006-06-06,2006-07-17,41,"Fledged",2,2,0,"0"
"198","212-09",2009,"LETE","Blue Hole",2009-06-05,2009-07-17,42,"Fledged",2,2,0,"0"
"199","212LT-07",2007,"LETE","Blue Hole",2007-05-31,2007-07-12,42,"Fledged",2,2,0,"0"
"200","212LT-10",2010,"LETE","Blue Hole",2010-05-31,2010-07-06,36,"Unknown Outcome",2,0,1,"0"
"201","213-06",2006,"LETE","Blue Hole",2006-06-06,2006-07-17,41,"Fledged",3,3,0,"0"
"202","213-09",2009,"LETE","Blue Hole",2009-06-08,2009-07-17,39,"Fledged",2,2,0,"0"
"203","213LT-07",2007,"LETE","Blue Hole",2007-05-31,2007-07-05,35,NA,NA,0,NA,"0"
"204","213LT-10",2010,"LETE","Blue Hole",2010-05-31,2010-07-06,36,"Unknown Outcome",3,0,1,"0"
"205","214-06",2006,"LETE","Blue Hole",2006-06-10,2006-06-26,16,"Unknown Outcome",NA,0,NA,"0"
"206","214-09",2009,"LETE","Blue Hole",2009-06-09,2009-06-16,7,NA,NA,0,NA,"0"
"207","214LT-07",2007,"LETE","Blue Hole",2007-05-31,2007-07-05,35,"Failed-Predation",2,0,1,"0"
"208","214LT-10",2010,"LETE","Blue Hole",2010-06-04,2010-07-06,32,"Unknown Outcome",1,0,1,"0"
"209","215-06",2006,"LETE","Blue Hole",2006-06-10,2006-07-11,31,"Failed-Predation",2,0,1,"0"
"210","215-09",2009,"LETE","Blue Hole",2009-06-16,2009-06-18,2,NA,NA,0,NA,"0"
"211","215LT-07",2007,"LETE","Blue Hole",2007-06-08,2007-07-05,27,NA,NA,0,NA,"0"
"212","215LT-10",2010,"LETE","Blue Hole",2010-06-04,2010-06-22,18,NA,NA,0,NA,"0"
"213","216-06",2006,"LETE","Blue Hole",2006-06-15,2006-07-11,26,NA,NA,0,NA,"0"
"214","216-09",2009,"LETE","Blue Hole",2009-06-15,2009-07-28,43,"Fledged",1,1,0,"0"
"215","216LT-07",2007,"LETE","Blue Hole",2007-06-08,2007-07-05,27,NA,NA,0,NA,"0"
"216","216LT-10",2010,"LETE","Blue Hole",2010-06-03,2010-06-25,22,"Failed-Predation",3,0,1,"0"
"217","217-06",2006,"LETE","Blue Hole",2006-06-15,2006-06-17,2,"Unknown Outcome",NA,0,NA,"0"
"218","217-09",2009,"LETE","Blue Hole",2009-06-18,2009-06-22,4,NA,NA,0,NA,"0"
"219","217LT-07",2007,"LETE","Blue Hole",2007-06-20,2007-07-05,15,NA,NA,0,NA,"0"
"220","217LT-10",2010,"LETE","Blue Hole",2010-06-07,2010-06-25,18,NA,NA,0,NA,"0"
"221","218-06",2006,"LETE","Blue Hole",2006-06-15,2006-07-11,26,NA,NA,0,NA,"0"
"222","218-09",2009,"LETE","Blue Hole",2009-06-24,2009-07-15,21,"Unknown Outcome",NA,0,NA,"0"
"223","218LT-07",2007,"LETE","Blue Hole",2007-06-20,2007-07-12,22,NA,NA,0,NA,"0"
"224","218LT-10",2010,"LETE","Blue Hole",2010-06-03,2010-07-19,46,"Fledged",2,2,0,"0"
"225","219-06",2006,"LETE","Blue Hole",2006-06-15,2006-07-11,26,"Failed-Predation",2,0,1,"0"
"226","219-09",2009,"LETE","Blue Hole",2009-06-26,2009-07-15,19,"Unknown Outcome",1,0,1,"0"
"227","219LT-07",2007,"LETE","Blue Hole",2007-06-29,2007-07-23,24,NA,NA,0,NA,"0"
"228","219LT-10",2010,"LETE","Blue Hole",2010-06-14,2010-07-09,25,"Unknown Outcome",2,0,1,"0"
"229","22-L08",2008,"LETE","NPPD Lexington",2008-07-07,2008-08-04,28,"Failed-Predation",2,0,1,"0"
"230","220-06",2006,"LETE","Blue Hole",2006-06-23,2006-07-11,18,NA,NA,0,NA,"0"
"231","220-09",2009,"LETE","Blue Hole",2009-06-22,2009-08-09,48,"Fledged",2,1,0.5,"0"
"232","220LT-07",2007,"LETE","Blue Hole",2007-07-12,2007-07-17,5,NA,NA,0,NA,"0"
"233","220LT-10",2010,"LETE","Blue Hole",2010-06-09,2010-07-09,30,"Failed-Predation",1,0,1,"0"
"234","221-06",2006,"LETE","Blue Hole",2006-06-23,2006-07-11,18,NA,NA,0,NA,"0"
"235","221-09",2009,"LETE","Blue Hole",2009-06-22,2009-07-28,36,"Fledged",3,3,0,"0"
"236","221LT-10",2010,"LETE","Blue Hole",2010-06-21,2010-07-12,21,"Unknown Outcome",2,0,1,"0"
"237","221PP-07",2007,"PIPL","Blue Hole",2007-07-12,2007-07-23,11,NA,NA,0,NA,"0"
"238","222-06",2006,"PIPL","Blue Hole",2006-05-26,2006-07-17,52,"Fledged",4,4,0,"0"
"239","222-09",2009,"LETE","Blue Hole",2009-06-27,2009-07-15,18,"Unknown Outcome",2,0,1,"0"
"240","222LT-07",2007,"LETE","Blue Hole",2007-07-12,2007-07-17,5,NA,NA,0,NA,"0"
