"","Year","Site","Type","Time","LT_Fledge_Ratio_Nest","LT_Fledge_Ratio_BPE","PP_Fledge_Ratio_Nest","PP_Fledge_Ratio_BPE"
"59",2017,"Leaman","Treatment","Before",0,0,0,0
"60",2017,"Newark East","Control","Before",1.1,0.7857,4,1.3333
"61",2017,"Newark West","Treatment","Before",0.7333,0.6111,1.375,1
"62",2017,"NPPD Lexington","Control","Before",0.9091,0.5,1.25,0.5
"63",2016,"Blue Hole","Control","Before",0.3684,0.3889,1.125,0.4286
"64",2016,"Dyer","Control","Before",1,0.6429,0,0
"65",2016,"Kearney Broadfoot South","Treatment","Before",0.9524,0.5405,0.5,0.3077
"66",2016,"Leaman","Treatment","Before",0.4286,0.25,2.75,1.375
"67",2016,"Newark East","Control","Before",2,0.2857,1.6667,0.8333
"68",2016,"Newark West","Treatment","Before",0.6,0.2857,1.4286,1
"69",2016,"NPPD Lexington","Control","Before",0.7273,0.5333,0.6667,0.4
"70",2015,"Blue Hole","Control","Before",1.1818,0.7647,1.7273,0.95
"71",2015,"Cottonwood Ranch","Control","Before",0.5,0.2105,2,0.3333
"72",2015,"Dyer","Control","Before",0.8333,0.3571,0.25,0.125
"73",2015,"Kearney Broadfoot South","Treatment","Before",0.4545,0.1351,0.0909,0.0714
"74",2015,"Leaman","Treatment","Before",0.7027,0.7879,1.1667,0.7
"75",2015,"Newark West","Treatment","Before",1.087,0.8333,1,0.6667
"76",2015,"NPPD Lexington","Control","Before",1,0.4167,1.5,0.375
"77",2014,"Blue Hole","Control","Before",0.9231,0.8,1.6667,0.625
"78",2014,"Cottonwood Ranch","Control","Before",0.5,0.3333,1.5,0.375
"79",2014,"Kearney Broadfoot South","Treatment","Before",0.4,0.05,0,0
"80",2014,"Leaman","Treatment","Before",0.5926,0.4706,2,1
"81",2014,"Newark West","Treatment","Before",0.5333,0.32,0.6667,0.4
"82",2013,"Blue Hole","Control","Before",1,0.7273,1.1667,0.7
"83",2013,"Cottonwood Ranch","Control","Before",0,0,0,0
"84",2013,"Dyer","Control","Before",0.3077,0.2,0.25,0.1
"85",2013,"Kearney Broadfoot South","Treatment","Before",1,0.5238,1,0.1765
"86",2013,"Leaman","Treatment","Before",0,0,4,0.6667
"87",2013,"Newark West","Treatment","Before",2,0.2857,1,0.4
"88",2012,"Blue Hole","Control","Before",1,0.4074,1.1875,0.9048
"89",2012,"NPPD Lexington","Control","Before",1.25,0.7143,1,0.6667
"90",2011,"Blue Hole","Control","Before",1.2917,0.9394,2.3636,1.4444
"91",2011,"Dyer","Control","Before",0.4,0.1667,0,0
"92",2011,"Kearney Broadfoot South","Treatment","Before",0.8,0.5217,0.75,0.4615
"93",2011,"NPPD Lexington","Control","Before",1.1,0.6875,0.5,0.3
"94",2010,"Blue Hole","Control","Before",0.0909,0.08,2.2857,1.0667
"95",2010,"Kearney Broadfoot South","Treatment","Before",1,0.15,0,0
"96",2010,"NPPD Lexington","Control","Before",1.381,1,1.6667,1
